,Date,Open,High,Low,Close,Volume,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages
141,2010-03-08,31.43,31.441429,31.178571999999996,31.297141999999997,107472400,0.0,1.37,-1.37,0,2,0.0,7
142,2010-03-09,31.187143,32.142857,31.127142,31.860001,230064800,1.95,2.22,-0.27,5,5,1.0,19
143,2010-03-10,31.975714,32.21143,31.885714,32.119999,149054500,1.7,1.67,0.03,1,1,1.0,4
144,2010-03-11,31.987143,32.214287,31.902857,32.214287,101425100,1.34,0.0,1.34,3,0,0.0,7
145,2010-03-12,32.481429999999996,32.532856,32.25,32.371429,104080900,1.56,1.53,0.03,9,4,2.25,23
146,2010-03-15,32.197144,32.214287,31.464284999999997,31.977141999999997,123375700,1.66,1.65,0.01,6,13,0.46,50
147,2010-03-16,32.025715000000005,32.139998999999996,31.787144,32.064285,111727000,2.42,1.99,0.43,2,6,0.33,28
148,2010-03-17,32.128571,32.349998,31.895714,32.017143,112739200,2.12,1.94,0.18,8,8,1.0,34
149,2010-03-18,32.014286,32.142857,31.801428,32.092857,85527400,1.25,1.62,-0.37,9,8,1.13,37
150,2010-03-19,32.112858,32.177143,31.604286,31.75,139861400,1.62,1.89,-0.27,19,9,2.11,59
151,2010-03-22,31.495714000000003,32.285713,31.450001,32.107143,114104900,1.52,1.52,0.0,12,9,1.33,47
152,2010-03-23,32.234287,32.682858,32.014286,32.622856,150607800,2.08,1.43,0.65,21,10,2.1,67
153,2010-03-24,32.52,32.885715000000005,32.501427,32.767143,149445100,1.62,1.29,0.33,7,5,1.4,33
154,2010-03-25,32.988571,32.995715999999994,32.32143,32.378571,135571100,1.6,1.96,-0.36,16,9,1.78,53
155,2010-03-26,32.707142,33.135715000000005,32.650002,32.985714,160218800,1.75,1.77,-0.02,17,10,1.7,46
156,2010-03-29,33.285713,33.41,33.088570000000004,33.198570000000004,135186100,2.13,1.68,0.45,21,13,1.62,88
157,2010-03-30,33.799999,33.925713,33.464287,33.692856,131827500,1.44,1.8,-0.36,29,25,1.16,100
158,2010-03-31,33.64143,33.801429999999996,33.494285999999995,33.57143,107664900,1.98,1.76,0.22,15,6,2.5,50
159,2010-04-01,33.915714,34.104286,33.25,33.709998999999996,150786300,1.67,1.83,-0.16,20,19,1.05,79
160,2010-04-05,33.568573,34.072857,33.53857,34.07,171126900,1.98,1.9,0.08,24,28,0.86,115
161,2010-04-06,34.028572,34.32,33.857143,34.220001,111754300,1.93,1.65,0.28,20,10,2.0,64
162,2010-04-07,34.221428,34.560001,34.094284,34.371429,157125500,1.46,1.33,0.13,13,7,1.86,35
163,2010-04-08,34.348572,34.505714000000005,34.005714000000005,34.278572,143247300,1.83,1.61,0.22,23,20,1.15,97
164,2010-04-09,34.490002000000004,34.555714,34.351428999999996,34.541428,83545700,1.41,1.58,-0.17,21,6,3.5,70
165,2010-04-12,34.599998,34.724284999999995,34.544284999999995,34.612858,83256600,1.91,1.6,0.31,5,3,1.67,28
166,2010-04-13,34.551429999999996,34.685715,34.444286,34.632858,76552700,1.97,1.92,0.05,10,4,2.5,34
167,2010-04-14,35.040001000000004,35.115715,34.867142,35.098572,101019100,1.96,2.18,-0.22,17,6,2.83,45
168,2010-04-15,35.111427,35.575714000000005,35.072857,35.560001,94196200,1.67,2.38,-0.71,8,6,1.33,30
169,2010-04-16,35.509997999999996,35.877144,34.935715,35.342857,187636400,1.51,2.01,-0.5,12,11,1.09,66
170,2010-04-19,35.290001000000004,35.412857,34.53857,35.295715,141731100,1.52,2.12,-0.6,11,16,0.69,68
171,2010-04-20,35.505714000000005,35.607143,34.708572,34.941429,184581600,1.68,2.09,-0.41,52,44,1.18,280
172,2010-04-21,36.971428,37.17857,36.532856,37.031428999999996,245597800,2.02,1.88,0.14,25,16,1.56,85
173,2010-04-22,36.89143,38.107143,36.599998,38.067142,198356200,1.87,1.94,-0.07,29,14,2.07,76
174,2010-04-23,38.284286,38.882858,38.142857,38.689999,199238900,1.67,2.33,-0.66,21,18,1.17,77
175,2010-04-26,38.84,38.922855,38.312859,38.5,119767200,1.66,1.9,-0.24,16,11,1.45,55
176,2010-04-27,38.181427,38.262856,37.217144,37.434284000000005,177335900,1.65,2.13,-0.48,10,6,1.67,26
177,2010-04-28,37.607143,37.714287,36.630001,37.371429,189600600,1.71,1.66,0.05,24,13,1.85,88
178,2010-04-29,37.574287,38.57143,37.43,38.377144,139710200,1.88,1.71,0.17,14,10,1.4,45
179,2010-04-30,38.472858,38.652859,37.285713,37.298573,135615900,1.41,1.8,-0.39,11,8,1.38,39
180,2010-05-03,37.691429,38.268570000000004,37.554287,38.049999,113585500,2.34,1.89,0.45,4,6,0.67,32
181,2010-05-04,37.555714,37.612858,36.67857,36.954285,180954900,1.55,1.98,-0.43,9,6,1.5,30
182,2010-05-05,36.147144,36.877144,35.532856,36.57,220775800,1.58,1.34,0.24,17,8,2.13,46
183,2010-05-06,36.261429,36.892857,28.464284999999997,35.17857,321465200,1.5,2.1,-0.6,23,15,1.53,121
184,2010-05-07,34.815715999999995,35.224284999999995,32.172855,33.694286,419004600,1.64,1.89,-0.25,33,23,1.43,112
185,2010-05-10,35.75,36.378571,35.504284000000006,36.284286,246076600,1.72,1.96,-0.24,12,6,2.0,35
186,2010-05-11,35.977142,37.127144,35.785713,36.645714,212226700,1.31,1.29,0.02,16,9,1.78,67
187,2010-05-12,37.034286,37.59,36.957142,37.441429,163594900,1.93,1.65,0.28,14,5,2.8,38
188,2010-05-13,37.602856,37.857143,36.628571,36.908573,149928100,1.45,1.96,-0.51,9,4,2.25,34
189,2010-05-14,36.451427,36.639998999999996,35.642857,36.259997999999996,189840700,1.62,2.38,-0.76,17,4,4.25,37
190,2010-05-17,36.385715000000005,36.597141,35.387142,36.317142,190708700,1.59,1.88,-0.29,15,3,5.0,33
191,2010-05-18,36.71143,36.935715,35.751427,36.051429999999996,195669600,1.52,1.28,0.24,4,1,4.0,14
192,2010-05-19,35.642857,36.131428,34.978573,35.477142,256431700,1.75,2.11,-0.36,24,18,1.33,82
193,2010-05-20,34.554287,34.835712,33.744285999999995,33.965714,320728800,1.61,1.9,-0.29,21,13,1.62,63
194,2010-05-21,33.259997999999996,34.92857,33.049999,34.617142,305972800,1.57,1.67,-0.1,12,9,1.33,39
195,2010-05-24,35.325714000000005,35.842857,35.18,35.251427,188559700,1.85,1.52,0.33,13,11,1.18,40
196,2010-05-25,34.192856,35.251427,33.880001,35.031428999999996,262001600,1.6,1.89,-0.29,16,2,8.0,32
197,2010-05-26,35.725716,36.018570000000004,34.82143,34.872856,212663500,1.86,1.66,0.2,15,7,2.14,41
198,2010-05-27,35.799999,36.27,35.587143,36.192856,166570600,1.59,1.72,-0.13,15,8,1.88,46
199,2010-05-28,37.055714,37.057144,36.192856,36.697144,203903700,2.08,2.39,-0.31,5,3,1.67,36
200,2010-06-01,37.098572,37.991428000000006,36.994285999999995,37.261429,219118200,1.79,1.61,0.18,24,12,2.0,58
201,2010-06-02,37.791428,37.828571000000004,37.189999,37.707142,172137000,1.72,1.95,-0.23,10,4,2.5,32
202,2010-06-03,37.882858,37.935715,37.201427,37.588570000000004,162526700,1.73,1.73,0.0,18,11,1.64,41
203,2010-06-04,36.887142,37.414288,36.375713,36.565715999999995,189576100,1.6,1.59,0.01,8,4,2.0,36
204,2010-06-07,36.898571000000004,37.021427,35.792858,35.848572,221735500,1.65,1.91,-0.26,18,14,1.29,106
205,2010-06-08,36.177143,36.257141,35.092857,35.618572,250192600,1.51,2.04,-0.53,26,15,1.73,80
206,2010-06-09,35.924285999999995,35.985714,34.64143,34.742859,213657500,1.6,1.88,-0.28,25,22,1.14,112
207,2010-06-10,34.977142,35.854286,34.599998,35.787144,194089000,1.65,1.97,-0.32,27,8,3.38,103
208,2010-06-11,35.46143,36.265713,35.338570000000004,36.215714,136439800,2.21,1.18,1.03,14,3,4.67,43
209,2010-06-14,36.565715999999995,37.021427,36.287144,36.325714000000005,150740100,1.72,2.57,-0.85,7,5,1.4,33
210,2010-06-15,36.52,37.121429,36.5,37.098572,146268500,1.85,2.15,-0.3,15,13,1.15,63
211,2010-06-16,37.299999,38.25,37.232857,38.17857,195919500,1.63,1.65,-0.02,19,12,1.58,94
212,2010-06-17,38.657143,38.985714,38.5,38.838570000000004,218213800,2.12,1.32,0.8,13,12,1.08,53
213,2010-06-18,38.892857,39.285713,38.774284,39.152859,196155400,2.18,2.19,-0.01,20,10,2.0,60
214,2010-06-21,39.669998,39.85857,38.389998999999996,38.595715000000006,194122600,1.78,1.92,-0.14,17,16,1.06,72
215,2010-06-22,38.880001,39.424285999999995,38.785713,39.121429,179315500,1.84,2.09,-0.25,11,20,0.55,73
216,2010-06-23,39.225716,39.237144,38.271427,38.709998999999996,192114300,1.56,1.87,-0.31,11,11,1.0,64
217,2010-06-24,38.714287,39.028572,38.299999,38.42857,178569300,1.68,1.92,-0.24,18,12,1.5,78
218,2010-06-25,38.580002,38.610001000000004,37.972858,38.099998,137485600,1.67,1.45,0.22,16,9,1.78,53
219,2010-06-28,38.132858,38.535713,37.78857,38.328571000000004,146237000,1.61,2.05,-0.44,38,18,2.11,93
220,2010-06-29,37.731429999999996,37.77,36.328571000000004,36.595715000000006,283336200,1.55,1.47,0.08,32,26,1.23,126
221,2010-06-30,36.672855,36.852856,35.715714,35.932858,184863000,1.64,1.87,-0.23,17,15,1.13,75
222,2010-07-01,36.328571000000004,36.400002,34.745715999999994,35.497143,255724000,1.88,1.91,-0.03,15,15,1.0,83
223,2010-07-02,35.784286,35.847141,34.742859,35.277142,173460700,1.78,1.38,0.4,25,9,2.78,65
224,2010-07-06,35.857143,36.114284999999995,35.165714,35.518570000000004,153808900,1.64,1.86,-0.22,15,4,3.75,37
225,2010-07-07,35.784286,36.967144,35.67857,36.952858,163639000,1.74,1.64,0.1,16,10,1.6,68
226,2010-07-08,37.497143,37.557144,36.412857,36.869999,184536100,2.01,1.29,0.72,14,11,1.27,52
227,2010-07-09,36.698570000000004,37.128571,36.451427,37.088570000000004,108330600,1.57,0.51,1.06,13,3,4.33,49
228,2010-07-12,36.932858,37.407143,36.408573,36.755714000000005,140719600,1.49,2.32,-0.83,11,15,0.73,70
229,2010-07-13,36.617142,36.628571,35.204285,35.971428,297731000,1.69,1.51,0.18,68,40,1.7,241
230,2010-07-14,35.625713,36.542858,35.57143,36.104286,203011900,1.42,2.01,-0.59,36,26,1.38,159
