source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date
stocktwits,AAPL,2.07,1.99,0.08,4,1,4,11,24,2009/11/23
stocktwits,AAPL,0,0,0,0,0,0,2,24,2009/11/24
stocktwits,AAPL,0,0,0,0,0,0,2,24,2009/11/25
stocktwits,AAPL,2.4,0,2.4,1,0,0,2,24,2009/11/26
stocktwits,AAPL,0,1.25,-1.25,0,4,0,12,24,2009/11/27
stocktwits,AAPL,0,0,0,0,0,0,1,24,2009/11/28
stocktwits,AAPL,0,1.53,-1.53,0,1,0,2,24,2009/11/29
stocktwits,AAPL,1.9,0.46,1.44,1,1,1,2,24,2009/11/30
stocktwits,AAPL,0.67,2.79,-2.12,1,6,0.17,23,24,2009/12/1
stocktwits,AAPL,1.59,2.05,-0.46,3,2,1.5,15,24,2009/12/2
stocktwits,AAPL,1.83,0,1.83,4,0,0,7,24,2009/12/3
stocktwits,AAPL,1.46,1.68,-0.22,8,5,1.6,17,24,2009/12/4
stocktwits,AAPL,0,0.7,-0.7,0,1,0,1,24,2009/12/5
stocktwits,AAPL,0,0,0,0,0,0,2,24,2009/12/6
stocktwits,AAPL,1.34,2.41,-1.07,2,3,0.67,11,24,2009/12/7
stocktwits,AAPL,1.65,1.24,0.41,8,5,1.6,26,24,2009/12/8
stocktwits,AAPL,1.3,1.92,-0.62,12,2,6,30,24,2009/12/9
stocktwits,AAPL,0.83,1.32,-0.49,6,4,1.5,18,24,2009/12/10
stocktwits,AAPL,1.98,0.52,1.46,1,1,1,6,24,2009/12/11
stocktwits,AAPL,0,0.2,-0.2,0,1,0,3,24,2009/12/12
stocktwits,AAPL,0.78,0,0.78,1,0,0,4,24,2009/12/13
stocktwits,AAPL,1.87,1.99,-0.12,2,4,0.5,16,24,2009/12/14
stocktwits,AAPL,1.93,2.39,-0.46,1,1,1,5,24,2009/12/15
stocktwits,AAPL,1.94,1.65,0.29,2,2,1,7,24,2009/12/16
stocktwits,AAPL,0.31,2.5,-2.19,2,1,2,4,24,2009/12/17
stocktwits,AAPL,0,0,0,0,0,0,7,24,2009/12/18
stocktwits,AAPL,2.32,0,2.32,2,0,0,3,24,2009/12/19
stocktwits,AAPL,0,0,0,0,0,0,2,24,2009/12/20
stocktwits,AAPL,1.71,1.45,0.26,9,3,3,20,24,2009/12/21
stocktwits,AAPL,1.91,1.82,0.09,2,4,0.5,13,24,2009/12/22
stocktwits,AAPL,1.76,1.33,0.43,6,4,1.5,24,24,2009/12/23
stocktwits,AAPL,1.7,1.49,0.21,22,10,2.2,43,24,2009/12/24
stocktwits,AAPL,2.35,0,2.35,1,0,0,4,24,2009/12/25
stocktwits,AAPL,0,0,0,0,0,0,7,24,2009/12/27
stocktwits,AAPL,1.44,1.66,-0.22,8,5,1.6,27,24,2009/12/28
stocktwits,AAPL,2.24,1.62,0.62,2,6,0.33,18,24,2009/12/29
stocktwits,AAPL,2.28,1.78,0.5,10,1,10,15,24,2009/12/30
stocktwits,AAPL,1.35,1.88,-0.53,3,1,3,8,24,2009/12/31
stocktwits,AAPL,0,0,0,0,0,0,1,24,2010/1/1
stocktwits,AAPL,0,1.5,-1.5,0,1,0,3,24,2010/1/2
stocktwits,AAPL,2.09,0,2.09,3,0,0,6,24,2010/1/3
stocktwits,AAPL,2.19,2.49,-0.3,10,2,5,24,24,2010/1/4
stocktwits,AAPL,1.15,1.97,-0.82,6,10,0.6,33,24,2010/1/5
stocktwits,AAPL,1.68,1.66,0.02,6,7,0.86,27,24,2010/1/6
stocktwits,AAPL,1.5,0.87,0.63,3,2,1.5,14,24,2010/1/7
stocktwits,AAPL,2.39,0,2.39,3,0,0,14,24,2010/1/8
stocktwits,AAPL,0,0,0,0,0,0,1,24,2010/1/9
stocktwits,AAPL,0,0,0,0,0,0,2,24,2010/1/10
stocktwits,AAPL,1.77,2.05,-0.28,2,3,0.67,18,24,2010/1/11
stocktwits,AAPL,1.95,2.53,-0.58,4,4,1,18,24,2010/1/12
stocktwits,AAPL,1.98,1.88,0.1,8,3,2.67,20,24,2010/1/13
stocktwits,AAPL,1.52,1.69,-0.17,5,6,0.83,23,24,2010/1/14
stocktwits,AAPL,1.91,2.34,-0.43,4,8,0.5,24,24,2010/1/15
stocktwits,AAPL,1.17,0,1.17,1,0,0,1,24,2010/1/16
stocktwits,AAPL,0,0,0,0,0,0,1,24,2010/1/17
stocktwits,AAPL,0,0,0,0,0,0,6,24,2010/1/18
